,0
capx_gr3,0.13621506117849158
aliq_at,0.12624083291305865
rmax5_21d,0.10147979012533481
eqpo_me,0.09614955627920985
eqnpo_me,0.09225384451654772
ncol_gr1a,0.09122374945134215
zero_trades_21d,0.08591032958184108
dsale_drec,0.08242987770520083
at_gr1,0.08230275311534863
ivol_hxz4_21d,0.07960420358719134
corr_1260d,0.07920019964637559
f_score,0.07773686843775529
prc_highprc_252d,0.07654015776174061
col_gr1a,0.07460463258494876
intrinsic_value,0.06727754154185828
tax_gr1a,0.0660808649793796
opex_at,0.0652517231731129
rmax1_21d,0.06220343951546514
emp_gr1,0.060518238471396035
cash_at,0.05962342054179537
ret_60_12,0.05947806635390496
lti_gr1a,0.059083840361771944
zero_trades_126d,0.05881980777308149
ami_126d,0.056837895402425787
bidaskhl_21d,0.055427243609398325
zero_trades_252d,0.05541655025069847
ni_ivol,0.05487529590363316
sale_bev,0.05389489770498246
rvol_21d,0.051413313290194385
ope_be,0.05067311822905696
capex_abn,0.04903780557007398
qmj_growth,0.04843498761265552
be_gr1a,0.047221784242347464
age,0.04670356394856334
capx_gr2,0.046649809508116924
dsale_dinv,0.04657609346655356
ivol_capm_252d,0.0459071950413521
eqnetis_at,0.045400123193958475
dolvol_var_126d,0.044683507456650506
seas_2_5na,0.044259218757059404
ebit_bev,0.04388717072688575
netis_at,0.04024218785774725
sale_gr3,0.039711721186416415
div12m_me,0.03858501460380204
nfna_gr1a,0.03827873436997997
ebitda_mev,0.03805223713708061
ret_9_1,0.037132385223261455
niq_at,0.03701246008653536
kz_index,0.03649503270600141
prc,0.03636630640779792
o_score,0.03586161156650025
at_be,0.034173579937524234
sale_gr1,0.03341821360720543
nncoa_gr1a,0.033372341734873245
tangibility,0.03108180350068812
ocfq_saleq_std,0.03094988992714054
rd_sale,0.030504110783317717
ocf_at_chg1,0.030238850761366898
turnover_126d,0.030106963227915173
niq_su,0.028383042569598338
ivol_ff3_21d,0.027769879004037268
ivol_capm_21d,0.02743440357946092
eqnpo_12m,0.027375464816704387
niq_be,0.026659891683069148
mispricing_mgmt,0.02609134998773399
ppeinv_gr1a,0.025700469473368237
rd_me,0.025366402036343327
aliq_mat,0.024661265634396745
chcsho_12m,0.020687709831836543
ni_inc8q,0.020371149329206695
op_atl1,0.020360387173034677
earnings_variability,0.020098512078682074
sale_emp_gr1,0.019620763907421068
capx_gr1,0.018751509344425266
ncoa_gr1a,0.018386867762577364
rmax5_rvol_21d,0.018119168085461546
ret_12_7,0.015730578892191094
ocf_at,0.014692382750799204
at_turnover,0.014118303522409281
qmj_safety,0.013367485624861342
dolvol_126d,0.011568827523320557
op_at,0.011528664876548689
bev_mev,0.01063138523464735
debt_me,0.010210252204367443
dbnetis_at,0.008924861492446201
betadown_252d,0.00833971465201122
ni_be,0.008306183053299332
sale_me,0.007583125925416656
inv_gr1,0.0068797603835668575
saleq_su,0.006405606646878947
cowc_gr1a,0.006003668608649093
qmj_prof,0.005332360589984653
resff3_6_1,0.0036755005004853736
niq_at_chg1,0.003097725510595062
debt_gr3,0.002788784934210975
ni_me,0.001819926176335862
coa_gr1a,0.0018193639314567633
turnover_var_126d,0.0015876916712005418
ret_3_1,0.0011048542520715188
gp_at,0.0
dsale_dsga,0.0
rskew_21d,0.0
ebit_sale,0.0
be_me,0.0
fnl_gr1a,0.0
z_score,0.0
fcf_me,0.0
sti_gr1a,0.0
taccruals_at,0.0
dgp_dsale,0.0
at_me,0.0
eq_dur,0.0
saleq_gr1,0.0
beta_dimson_21d,0.0
seas_1_1an,0.0
seas_1_1na,0.0
seas_2_5an,0.0
taccruals_ni,0.0
beta_60m,0.0
ret_12_1,0.0
gp_atl1,0.0
lnoa_gr1a,0.0
niq_be_chg1,0.0
ni_ar1,0.0
noa_at,0.0
noa_gr1a,0.0
oaccruals_at,0.0
netdebt_me,0.0
cop_at,0.0
mispricing_perf,0.0
ocf_me,0.0
market_equity,0.0
cop_atl1,0.0
ope_bel1,0.0
betabab_1260d,0.0
coskew_21d,0.0
pi_nix,0.0
iskew_hxz4_21d,0.0
iskew_ff3_21d,0.0
qmj,0.0
iskew_capm_21d,0.0
inv_gr1a,0.0
rd5_at,0.0
resff3_12_1,0.0
ret_1_0,0.0
ret_6_1,0.0
oaccruals_ni,0.0
